Sharetea,Pochi,Happy_Lemon,DIY_Tea_Lab,Tealogy,Ding_Tea,Boba_Gem,BÖBA,CHICHA_San_Chen
Thai_Pearl_Milk_Tea,1,1,0,0,0,1,0,1,0
Milk_Tea_(Black Tea),1,1,0,1,0,1,1,1,1
Milk_Tea_(Oolong Tea),1,0,0,0,0,1,1,0,1
Milk_Tea_(Green Tea),1,0,1,0,1,0,0,1,1
Mango ,1,1,1,1,0,0,1,1,0
Strawberry ,1,1,1,0,1,1,1,1,0
Passion_Fruit,1,1,0,0,0,0,0,1,0
Brown_Sugar,1,0,0,1,1,1,1,0,1
Matcha,1,0,1,0,0,0,0,1,0
Taro,1,1,0,0,0,1,1,1,0
Taro_Oreo,0,1,0,0,0,0,0,0,0
Oreo,1,0,1,0,0,0,0,0,0
Avocado,0,1,0,0,0,0,0,1,0
Cookies_and_Cream,0,1,0,0,0,0,0,0,0
Ube,0,0,1,0,0,0,1,0,0
Grapefruit,0,0,1,0,0,0,0,0,0
Osmanthus ,0,0,0,0,1,0,0,0,0
Wintermelon,0,0,0,0,0,0,1,1,0
Lychee,0,0,0,0,0,0,1,1,0
